Place,Latitude,Longitude
Agartala,23.8315,91.2868
Agra,27.1767,78.0081
Ahmedabad,23.0225,72.5714
Aizawl,23.7271,92.7176
Allahabad,25.4358,81.8463
Amritsar,31.634,74.8723
Bangalore,12.9716,77.5946
Bhopal,23.2599,77.4126
Bhubaneswar,20.2961,85.8245
Chandigarh,30.7333,76.7794
Chennai,13.0827,80.2707
Coimbatore,11.0168,76.9558
Cuttack,20.4625,85.883
Darjeeling,27.036,88.2627
Dehradun,30.3165,78.0322
Delhi,28.7041,77.1025
Ernakulam,9.9816,76.2999
Gangtok,27.3389,88.6065
Guwahati,26.1445,91.7362
Hyderabad,17.385,78.4867
Imphal,24.817,93.9368
Jaipur,26.9124,75.7873
Jammu,32.7266,74.857
Jhansi,25.4484,78.5685
Kanyakumari,8.0883,77.5385
Kohima,25.6586,94.1053
Kolkata,22.5726,88.3639
Lucknow,26.8467,80.9462
Madurai,9.9252,78.1198
Mangalore,12.9141,74.856
Mumbai,19.076,72.8777
Mysore,12.2958,76.6394
Nagpur,21.1458,79.0882
Nashik,19.9975,73.7898
Panaji,15.4909,73.8278
Patna,25.5941,85.1376
Pondicherry,11.9416,79.8083
Pune,18.5204,73.8567
Raipur,21.2514,81.6296
Ranchi,23.3441,85.3096
Rameswaram,9.2876,79.3129
Shillong,25.5788,91.8933
Shimla,31.1048,77.1734
Srinagar,34.0836,74.7973
Thiruvananthapuram,8.5241,76.9366
Tirupati,13.6288,79.4192
udagamandalam,11.4064,76.6932
Udaipur,24.5854,73.7125
Varanasi,25.3176,82.9739
Vijayawada,16.5062,80.648
Visakhapatnam,17.6868,83.2185
